sol,easting,northing,elevation,latitude,longitude
494,8144953.039,-274160.839,-4488.77,-4.679949747,137.410284309
504,8144931.595,-274161.76,-4489.78,-4.679965467,137.409922536
506,8144913.935,-274178.087,-4489.01,-4.680244142,137.409624601
508,8144910.983,-274186.887,-4489.15,-4.680394343,137.409574799
511,8144910.581,-274211.912,-4487.85,-4.680821478,137.409568017
513,8144910.165,-274213.198,-4487.82,-4.680843427,137.409560999
515,8144890.54,-274236.444,-4486.76,-4.681240198,137.409229913
518,8144874.936,-274236.703,-4487.25,-4.681244618,137.408966664
519,8144850.419,-274233.304,-4489.46,-4.681186603,137.408553047
520,8144836.768,-274254.622,-4489.8,-4.681550466,137.408322747
521,8144834.69,-274264.879,-4489.28,-4.681725535,137.40828769
524,8144810.581,-274267.004,-4486.96,-4.681761805,137.407880956
526,8144797.828,-274263.201,-4487.36,-4.681696895,137.407665805
527,8144779.839,-274244.475,-4487.59,-4.681377273,137.40736232
528,8144773.927,-274237.387,-4486.74,-4.681256293,137.407262581
532,8144774.882,-274236.691,-4486.76,-4.681244414,137.407278693
533,8144771.07,-274240.208,-4486.86,-4.681304443,137.407214382
535,8144763.962,-274239.725,-4487.95,-4.681296199,137.407094466
538,8144728.245,-274248.984,-4489.28,-4.681454234,137.406491898
540,8144658.662,-274251.687,-4487.5,-4.68150037,137.405317991
542,8144636.794,-274257.77,-4487.05,-4.681604197,137.404949064
545,8144590.987,-274264.724,-4488.41,-4.68172289,137.404176273
546,8144590.237,-274265.502,-4488.37,-4.681736169,137.40416362
547,8144509.239,-274315.468,-4491.04,-4.6825890040000004,137.402797134
548,8144436.871,-274369.77,-4487.23,-4.683515848,137.401576243
549,8144437.424,-274375.975,-4487.22,-4.683621757,137.401585572
550,8144426.505,-274381.47,-4486.73,-4.683715548,137.401401362
552,8144368.711,-274425.702,-4487.63,-4.684470513,137.400426342
553,8144357.555,-274479.292,-4487.48,-4.685385204,137.400238134
554,8144357.447,-274480.479,-4487.47,-4.685405464,137.400236312
555,8144363.217,-274523.682,-4484.83,-4.686142867,137.400333655
559,8144374.554,-274578.329,-4483.45,-4.687075599,137.400524917
560,8144351.171,-274584.72,-4481.5,-4.687184683,137.400130432
561,8144326.935,-274577.477,-4480.97,-4.687061057,137.399721556
562,8144327.299,-274576.364,-4481.04,-4.68704206,137.399727697
563,8144330.444,-274590.914,-4480.36,-4.687290404,137.399780755
564,8144292.992,-274607.749,-4483.42,-4.687577749,137.399148917
565,8144286.512,-274638.156,-4481.1,-4.688096745,137.399039595
566,8144287.773,-274638.704,-4481.11,-4.6881060980000004,137.399060869
568,8144308.824,-274700.308,-4480.28,-4.689157575,137.399416012
569,8144405.6,-274724.636,-4482.04,-4.689572812,137.401048682
572,8144472.29,-274779.531,-4478.45,-4.690509777,137.402173782
574,8144472.197,-274817.705,-4478.68,-4.691161343,137.402172213
581,8144472.793,-274820.4,-4478.71,-4.691207342,137.402182268
586,8144472.946,-274818.874,-4478.74,-4.691181296,137.40218485
587,8144491.555,-274813.422,-4477.04,-4.691088239,137.402498795
588,8144508.96,-274850.811,-4478.02,-4.691726406,137.402792428
589,8144519.289,-274878.185,-4478.4,-4.692193634,137.402966684
593,8144515.115,-274900.028,-4478.95,-4.692566457,137.402896266
595,8144501.336,-274930.828,-4479.2,-4.693092161,137.402663806
597,8144477.881,-274929.255,-4480.31,-4.693065313,137.402268106
603,8144476.756,-274959.161,-4479.98,-4.693575757,137.402249127
606,8144463.953,-274967.035,-4479.44,-4.693710153,137.402033132
609,8144462.584,-274966.007,-4479.16,-4.693692607,137.402010036
630,8144473.892,-274984.827,-4479.62,-4.694013833,137.402200809
631,8144470.571,-275009.199,-4478.36,-4.694429821,137.402144782
634,8144424.161,-275057.731,-4475.36,-4.69525818,137.401361817
635,8144352.364,-275065.485,-4475.92,-4.695390528,137.400150558
636,8144301.949,-275034.905,-4474.37,-4.694868579,137.399300027
637,8144270.025,-275048.205,-4474.83,-4.695095588,137.39876145
640,8144269.343,-275049.2,-4474.915,-4.695112576,137.39874994
641,8144241.443,-275031.449,-4474.88,-4.694809591,137.398279254
643,8144160.624,-275052.03,-4478.54,-4.695160874,137.396915789
644,8144069.756,-275087.025,-4475.75,-4.695758179,137.39538279
646,8144043.019,-275073.934,-4473.41,-4.695534738,137.394931719
647,8144043.019,-275073.934,-4473.41,-4.695534738,137.394931721
649,8144005.722,-275060.333,-4474.99,-4.695302592,137.394302498
651,8143989.624,-275086.26,-4473.79,-4.695745122,137.394030915
655,8143911.459,-275116.269,-4473.04,-4.696257325,137.392712224
656,8143883.177,-275150.979,-4473.53,-4.696849765,137.39223509
657,8143770.788,-275162.675,-4473.01,-4.697049396,137.390339019
658,8143748.535,-275185.939,-4473.73,-4.697446473,137.389963598
660,8143749.115,-275186.997,-4473.769,-4.697464535,137.389973381
661,8143657.499,-275246.968,-4474.35,-4.698488135,137.388427765
662,8143586.283,-275348.5,-4470.21,-4.700221113,137.387226308
663,8143575.978,-275370.289,-4468.53,-4.700593014,137.387052457
664,8143547.608,-275428.726,-4468.51,-4.701590434,137.386573838
665,8143444.18,-275493.213,-4470.69,-4.702691117,137.384828945
667,8143444.196,-275494.384,-4470.664,-4.702711107,137.384829214
668,8143435.356,-275589.845,-4471.2,-4.704340461,137.384680079
